Comp Depth [cm],Al, Si, P, S, Ar, K, Ca, Ti, Mn, Fe, Ni, Rb,  Zr, Ca_Ti, Si_Ti, Zr_Ti, Ni_Ti, Fe_Ti, Al_Ti, K_Ti, Rb_K,core name
0,885,9261,0,259,10262,101821,607899,50303,5553,195282,1041,3335,1553,12.08474644,0.184104328,0.03087291,0.020694591,3.882114387,0.017593384,2.024153629,0.032753558,HIBO19-C-1-1
0.5,809,9721,0,234,10006,98727,668424,51084,5629,191284,1017,3164,1518,13.0848015,0.190294417,0.029715762,0.019908386,3.744499256,0.015836661,1.932640357,0.032047971,HIBO19-C-1-1
1,821,7745,0,350,10111,83539,644491,42902,4779,165767,1138,2736,1097,15.02239989,0.180527714,0.025569904,0.02652557,3.863852501,0.019136637,1.947205258,0.03275117,HIBO19-C-1-1
1.5,586,5683,0,309,10160,61099,702795,27700,5692,111999,1133,2284,410,25.37166065,0.205162455,0.014801444,0.040902527,4.043285199,0.021155235,2.205740072,0.037381954,HIBO19-C-1-1
2,669,5968,0,444,9623,72083,677759,29362,5203,111958,995,2429,990,23.0828622,0.203255909,0.033717049,0.033887337,3.813023636,0.022784551,2.454975819,0.033697266,HIBO19-C-1-1
2.5,748,6570,0,369,9811,88399,566165,30183,4628,119832,915,3452,723,18.75774443,0.2176722,0.023953881,0.030315078,3.97018189,0.024782162,2.928767849,0.039050216,HIBO19-C-1-1
3,473,3585,0,420,9853,41403,813059,17614,7156,77036,1100,1616,334,46.15981606,0.203531282,0.018962189,0.062450324,4.373566481,0.026853639,2.350573408,0.039030988,HIBO19-C-1-1
3.5,451,3877,0,425,9966,41192,770187,19641,7739,84804,1110,1665,403,39.21322743,0.197393208,0.020518304,0.056514434,4.317702765,0.022962171,2.097245558,0.04042047,HIBO19-C-1-1
4,567,5032,0,446,10858,48280,661785,22482,6344,106653,1013,2193,549,29.43621564,0.223823503,0.024419536,0.045058269,4.743928476,0.025220176,2.147495774,0.045422535,HIBO19-C-1-1
4.5,554,4139,0,496,9143,49661,340031,19459,5284,107545,776,1866,583,17.47422786,0.212703633,0.02996043,0.039878719,5.526748548,0.028470117,2.552083869,0.037574757,HIBO19-C-1-1
5,613,5453,0,475,9984,58302,546319,21362,5726,124781,1156,1657,581,25.57433761,0.255266361,0.027197828,0.054114783,5.841260182,0.028695815,2.729238835,0.02842098,HIBO19-C-1-1
5.5,982,7636,0,341,9961,69078,632513,21198,4152,105354,1091,1453,456,29.83833381,0.360222663,0.021511463,0.05146712,4.96999717,0.046325125,3.258703651,0.021034193,HIBO19-C-1-1
6,364,3015,0,463,7437,23633,443542,12005,3735,93079,783,1354,488,36.94643898,0.251145356,0.040649729,0.065222824,7.75335277,0.0303207,1.968596418,0.057292769,HIBO19-C-1-1
6.5,411,2493,0,530,8299,34239,544577,17907,5797,130455,994,1858,613,30.41140336,0.1392193,0.034232423,0.055509019,7.285139889,0.022951918,1.912045569,0.054265604,HIBO19-C-1-1
7,429,3469,0,486,9155,39120,635584,17980,5916,122801,1115,1711,478,35.34949944,0.192936596,0.026585095,0.062013348,6.829866518,0.023859844,2.175750834,0.043737219,HIBO19-C-1-1
7.5,485,3945,0,432,9308,48787,466754,25274,6545,136061,1016,2359,1004,18.46775342,0.156089262,0.039724618,0.040199414,5.383437525,0.019189681,1.930323653,0.048353045,HIBO19-C-1-1
8,356,2648,0,478,8713,36309,427400,19560,6972,118268,973,1839,513,21.85071575,0.135378323,0.026226994,0.049744376,6.046421268,0.018200409,1.856288344,0.0506486,HIBO19-C-1-1
8.5,310,2876,0,460,8705,35376,546107,16680,6942,104472,994,1672,731,32.74022782,0.172422062,0.04382494,0.059592326,6.263309353,0.018585132,2.120863309,0.047263682,HIBO19-C-1-1
9,390,2980,0,404,8457,41779,610682,18555,7822,97219,1012,2065,679,32.91199138,0.160603611,0.03659391,0.054540555,5.239504177,0.021018593,2.251630288,0.049426745,HIBO19-C-1-1
9.5,414,4026,0,374,9205,45041,496044,21787,7281,107851,1094,2344,790,22.76788911,0.184789094,0.036260155,0.05021343,4.950245559,0.019002157,2.067333731,0.052041473,HIBO19-C-1-1
10,466,4840,0,324,9064,52499,493788,26181,6346,129874,947,2553,546,18.86054773,0.184866888,0.020854818,0.036171269,4.960620297,0.017799167,2.005232802,0.048629498,HIBO19-C-1-1
10.5,444,4244,0,408,9265,51469,543991,21729,7125,110134,939,2789,474,25.03525243,0.195315017,0.021814165,0.043214138,5.068525933,0.020433522,2.368677804,0.054187958,HIBO19-C-1-1
11,379,3781,0,317,8854,44545,641885,19456,6047,101829,1030,2033,167,32.99162212,0.194335938,0.00858347,0.052939967,5.233809622,0.019479852,2.289525082,0.045639241,HIBO19-C-1-1
11.5,385,3511,0,192,8742,42304,649960,19296,5412,109874,932,1934,455,33.68366501,0.181954809,0.023580017,0.048300166,5.694133499,0.019952322,2.192371476,0.045716717,HIBO19-C-1-1
