Comp_Depth_[cm], Section_Depth_[cm],bSi_Content_[wt%]           ,TOC_[wt%],TIC_[wt%],Core_Section,sample nr bSi (Uni Bern),IOW-Sample-ID
0.5,13.5,1.27099,0.939160033,3.913839967,HIBO19-C-1-1,101,122
2,15,2.0476,1.66027289,5.66072711,HIBO19-C-1-1,102,123
3,16,5.72397,1.70412631,5.43587369,HIBO19-C-1-1,103,124
4.5,17.5,7.1646,1.821745098,6.472254902,HIBO19-C-1-1,104,125
6,19,5.642,1.547553164,4.04,HIBO19-C-1-1,105,126
7.5,20.5,6.32497,1.858033632,4.801966368,HIBO19-C-1-1,106,127
9,22,5.62936,1.121211498,3.573788502,HIBO19-C-1-1,107,128
10.5,23.5,4.32164,0.93935608,5.09564392,HIBO19-C-1-1,108,129
12,25,5.25901,0.858333931,5.114666069,HIBO19-C-1-1,109,130
13.5,26.5,2.9012,0.611611318,4.537388682,HIBO19-C-1-1,110,131
25,38,0.513634,0.945692866,3.481307134,HIBO19-C-1-1,111,132
35,48,0.194595,0.453184127,3.005815873,HIBO19-C-1-1,112,133
45,58,0.207128,0.211716717,2.610283283,HIBO19-C-1-1,113,134
55,68,0.105335,0.267702342,3.901297658,HIBO19-C-1-1,114,135
65,78,0.0514162,0.360203808,2.894796192,HIBO19-C-1-1,115,136
75,88,0.628563,0.331063056,2.69,HIBO19-C-1-1,116,137
85,98,0.60247,0.395971017,3.204028983,HIBO19-C-1-1,117,221
95,108,0.316016,0.589930856,2.834069144,HIBO19-C-1-1,118,140
103,51,1.01077,0.402684933,4.303315067,HIBO19-B-1-1,119,141
113,61,1.12363,0.173922584,4.146077416,HIBO19-B-1-1,120,142
123,71,0.725685,0.491376172,3.992623828,HIBO19-B-1-1,121,143
133,81,0.116856,0.7,3.42,HIBO19-B-1-1,122,144
143,91,1.13115,0.6,3.32,HIBO19-B-1-1,123,145
152.5,2,0.800591,0.9,3.46,HIBO19-B-1-2,124,146
162.5,12,0.256483,1,3.26,HIBO19-B-1-2,125,147
172.5,22,0.533378,0.9,2.59,HIBO19-B-1-2,126,148
182.5,32,0.138953,0.7,3.29,HIBO19-B-1-2,127,149
192.5,42,0.939145,0.9,3.12,HIBO19-B-1-2,128,150
