Label,Library_number,Sample_name,Extraction_number,Top_depth,Top_depth_shifted,Index_PCR_cycle
HB_01,YW03L.01,HIBO_aDNA_118,YW05E.02,101.5,101.5,8
HB_02,YW03L.02,HIBO_aDNA_129,YW05E.03,228.5,228.5,8
HB_03,YW03L.03,HIBO_aDNA_7,YW05E.04,407.5,407.5,8
HB_04,YW03L.04,HIBO_aDNA_18,YW05E.05,623.8,623.8,8
HB_05,YW03L.05,HIBO_aDNA_21,YW05E.06,682.9,682.9,8
HB_06,YW03L.06,HIBO_aDNA_29,YW05E.07,845.1,845.1,8
HB_07,YW03L.09,EB,YW05E.10,NA,NA,16
HB_08,YW03L.10,Bodensee_5-19_1,YW03E.01,300,300,9
HB_09,YW03L.11,Bodensee_5-19_2,YW03E.02,500,500,9
HB_10,YW03L.12,Bodensee_5-19_3,YW03E.03,700,700,8
HB_11,YW03L.13,Bodensee_5-19_4,YW03E.04,900,900,8
HB_12,YW03L.14,Bodensee_5-19_5,YW03E.05,1100,1100,10
HB_13,YW03L.15,EB,YW03E.11,NA,NA,16
HB_14,YW03L.16,Blank,NA,NA,NA,16
HB_15,YW04L.01,HIBO_aDNA_17,YW11E.01,605,605,9
HB_16,YW04L.02,HIBO_aDNA_19,YW11E.02,643.8,643.8,10
HB_17,YW04L.03,HIBO_aDNA_27,YW11E.03,804.4,804.4,10
HB_18,YW04L.05,HIBO_aDNA_35,YW11E.06,965.6,965.6,10
HB_19,YW04L.06,HIBO_aDNA_37,YW11E.07,1003.3,1003.3,8
HB_20,YW04L.07,HIBO_aDNA_39,YW11E.08,1043.3,1043.3,9
HB_21,YW04L.10,HIBO_aDNA_98,YW11E.11,2382.6,1283.3,7
HB_22,YW04L.11,HIBO_aDNA_67,YW04E.04,1633,1179.2,12
HB_23,YW04L.13,EB,YW04E.12,NA,NA,15
HB_24,YW04L.14,Blank,NA,NA,NA,15
HB_25,YW05L.01,HIBO_aDNA_107,YW12E.02,10,10,8
HB_26,YW05L.02,HIBO_aDNA_111,YW12E.03,34,34,8
HB_27,YW05L.03,HIBO_aDNA_114,YW12E.04,64,64,8
HB_28,YW05L.04,HIBO_aDNA_116,YW12E.05,84,84,9
HB_29,YW05L.05,HIBO_aDNA_120,YW12E.06,121.5,121.5,9
HB_30,YW05L.06,HIBO_aDNA_123,YW12E.07,151.5,151.5,9
HB_31,YW05L.07,HIBO_aDNA_126,YW12E.08,181.5,181.5,9
HB_32,YW05L.08,HIBO_aDNA_128,YW12E.09,208.5,208.5,9
HB_33,YW05L.09,HIBO_aDNA_131,YW12E.10,268.5,268.5,9
HB_34,YW05L.10,HIBO_aDNA_9,YW12E.11,447,447,9
HB_35,YW05L.11,EB,YW12E.12,NA,NA,11
HB_36,YW05L.12,HIBO_aDNA_30,YW11E.04,865.1,865.1,10
HB_37,YW05L.13,EB,YW11E.12,NA,NA,11
HB_38,YW05L.15,Bodensee_5-19_13,YW02E.03,350,350,8
HB_39,YW05L.16,Bodensee_5-19_14,YW02E.04,550,550,8
HB_40,YW05L.17,Bodensee_5-19_15,YW02E.05,750,750,10
HB_41,YW05L.19,EB,YW02E.12,NA,NA,11
HB_42,YW05L.20,Blank,NA,NA,NA,11
HB_43,YW06L.01,HIBO_aDNA_100,YW12E.01,-0.5,-0.5,8
HB_44,YW06L.02,Blank,NA,NA,NA,11
