Label,Library_number,Sample_name,Extraction_number,Top_depth_shifted,Middle_depth,yrAD,sigma,yrBP,period,N_filtered_reads,bac_arc,Viridiplantae,nonplant_Eukaryota,nonplant_Eukaryota_cyano,,
HB_43,YW06L.01,HIBO_aDNA_100,YW12E.01,-0.5,0,2012.833333,3.982663333,-62.83333333,contemporary,34172063,651175,57177,1520,2032,,
HB_25,YW05L.01,HIBO_aDNA_107,YW12E.02,10,10.5,2001.565714,4.381017143,-51.56571429,contemporary,32797003,668200,33581,1852,3012,,7
HB_26,YW05L.02,HIBO_aDNA_111,YW12E.03,34,34.5,1964.020294,5.430691176,-14.02029412,contemporary,28322023,615931,71671,1458,2366,,
HB_27,YW05L.03,HIBO_aDNA_114,YW12E.04,64,64.5,1841.276667,48.27247333,108.7233333,late_modern,39368322,785840,188398,2915,4597,,
HB_28,YW05L.04,HIBO_aDNA_116,YW12E.05,84,84.5,1695.070741,100.1293593,254.9292593,early_modern,38620990,716630,117218,4092,4894,,
HB_01,YW03L.01,HIBO_aDNA_118,YW05E.02,101.5,102,1567.04,90.3349,382.96,early_modern,34439141,714519,282681,6244,7936,,
HB_29,YW05L.05,HIBO_aDNA_120,YW12E.06,121.5,122,1445.161257,86.19034,504.8387429,middle_ages,27871769,553040,140448,3045,4321,6,
HB_30,YW05L.06,HIBO_aDNA_123,YW12E.07,151.5,152,1292.199657,102.8995977,657.8003429,middle_ages,37642117,849666,198995,4648,6464,,
HB_31,YW05L.07,HIBO_aDNA_126,YW12E.08,181.5,182,1139.153029,93.73298514,810.8469714,middle_ages,38603771,752686,416971,4533,5898,,
HB_32,YW05L.08,HIBO_aDNA_128,YW12E.09,208.5,209,946.6744636,119.5880795,1003.325536,middle_ages,38345732,842350,318622,5291,6576,,
HB_02,YW03L.02,HIBO_aDNA_129,YW05E.03,228.5,229,740.2114768,163.1058808,1209.788523,middle_ages,42872398,929798,532995,6483,8788,,
HB_33,YW05L.09,HIBO_aDNA_131,YW12E.10,268.5,269,327.0357152,101.7043344,1622.964285,roman,34751561,732864,515604,4528,6064,,5
HB_08,YW03L.10,Bodensee_5-19_1,YW03E.01,300,300.5,-68.77611091,119.9191636,2018.776111,iron_age,37756500,880124,588860,9313,10933,,
HB_38,YW05L.15,Bodensee_5-19_13,YW02E.03,350,350.5,-705.9208618,159.7266667,2655.920862,iron_age,30546584,825763,329815,4499,5669,,
HB_03,YW03L.03,HIBO_aDNA_7,YW05E.04,407.5,408,-1313.711322,165.8668678,3263.711322,bronze_age,36836484,727796,766265,8076,8889,,
HB_34,YW05L.10,HIBO_aDNA_9,YW12E.11,447,447.5,-1723.685652,170.8409565,3673.685652,bronze_age,28764893,637264,663143,5281,5716,4,
HB_09,YW03L.11,Bodensee_5-19_2,YW03E.02,500,500.5,-2336.469127,240.3809372,4286.469127,neolithic,36587054,743396,1542492,6709,7485,,
HB_39,YW05L.16,Bodensee_5-19_14,YW02E.04,550,550.5,-2981.83813,366.6639466,4931.83813,neolithic,37241515,841532,260951,4510,5476,,
HB_15,YW04L.01,HIBO_aDNA_17,YW11E.01,605,605.5,-3692.13448,414.3139311,5642.13448,neolithic,37735366,731692,795836,6382,7569,,
HB_04,YW03L.04,HIBO_aDNA_18,YW05E.05,623.8,624.3,-3934.91142,416.0610936,5884.91142,neolithic,33315999,645329,766633,6006,7069,,
HB_16,YW04L.02,HIBO_aDNA_19,YW11E.02,643.8,644.3,-4193.127782,410.008285,6143.127782,neolithic,29545431,623016,763933,5248,6338,,
HB_05,YW03L.05,HIBO_aDNA_21,YW05E.06,682.9,683.4,-4698.316386,373.9567919,6648.316386,neolithic,39553771,862293,864848,8926,10201,,
HB_10,YW03L.12,Bodensee_5-19_3,YW03E.03,700,700.5,-4918.946658,346.2532179,6868.946658,neolithic,36302481,741215,860830,7257,8021,,3
HB_40,YW05L.17,Bodensee_5-19_15,YW02E.05,750,750.5,-5562.564328,180.2752803,7512.564328,neolithic,37938011,730410,817612,7097,8059,,
HB_17,YW04L.03,HIBO_aDNA_27,YW11E.03,804.4,804.9,-6402.02069,241.2896207,8352.02069,mesolithic,28771517,541815,468545,3807,4498,,
HB_06,YW03L.06,HIBO_aDNA_29,YW05E.07,845.1,845.6,-6949.82168,203.8978621,8899.82168,mesolithic,37591024,658497,673511,7327,8266,2,
HB_36,YW05L.12,HIBO_aDNA_30,YW11E.04,865.1,865.6,-7183.351949,172.7993201,9133.351949,mesolithic,37640420,682453,665621,7410,8227,,
HB_11,YW03L.13,Bodensee_5-19_4,YW03E.04,900,900.5,-7544.188636,61.50390455,9494.188636,mesolithic,39378841,665309,1524587,12296,12939,,
HB_18,YW04L.05,HIBO_aDNA_35,YW11E.06,965.6,966.1,-8920.489856,111.6163237,10870.48986,mesolithic,24754693,560573,406727,3389,3680,,
HB_19,YW04L.06,HIBO_aDNA_37,YW11E.07,1003.3,1003.8,-9190.856557,160.3373938,11140.85656,mesolithic,31151526,732112,100070,3079,3482,,1
HB_20,YW04L.07,HIBO_aDNA_39,YW11E.08,1043.3,1043.8,-9477.483588,168.6242969,11427.48359,mesolithic,33862796,757180,125801,4017,4408,,
HB_12,YW03L.14,Bodensee_5-19_5,YW03E.05,1100,1100.5,-9950.198151,233.3715425,11900.19815,mesolithic,36080679,789754,64451,4535,5000,,
HB_22,YW04L.11,HIBO_aDNA_67,YW04E.04,1179.2,1179.7,-10649.38259,271.7139474,12599.38259,mesolithic,4407198,58459,122169,1095,1534,,
HB_21,YW04L.10,HIBO_aDNA_98,YW11E.11,1283.3,1283.8,-11567.62105,146.5607433,13517.62105,mesolithic,26610929,132607,1806434,2978,3031,,
HB_07,YW03L.09,EB,YW05E.10,NA,NA,NA,NA,NA,,99535,,,,,,
HB_13,YW03L.15,EB,YW03E.11,NA,NA,NA,NA,NA,,92446,,,,,,
HB_14,YW03L.16,Blank,NA,NA,NA,NA,NA,NA,,67189,,,,,,
HB_23,YW04L.13,EB,YW04E.12,NA,NA,NA,NA,NA,,53967,,,,,,
HB_24,YW04L.14,Blank,NA,NA,NA,NA,NA,NA,,10800,,,,,,
HB_35,YW05L.11,EB,YW12E.12,NA,NA,NA,NA,NA,,14515,,,,,,
HB_37,YW05L.13,EB,YW11E.12,NA,NA,NA,NA,NA,,1695,,,,,,
HB_41,YW05L.19,EB,YW02E.12,NA,NA,NA,NA,NA,,28869,,,,,,
HB_42,YW05L.20,Blank,NA,NA,NA,NA,NA,NA,,18235,,,,,,
HB_44,YW06L.02,Blank,NA,NA,NA,NA,NA,NA,,24743,,,,,,
