Northern Hemisphere Land January - December Average Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Date,Anomaly
185012,-0.63
185101,-0.55
185102,-0.52
185103,-0.56
185104,-0.54
185105,-0.50
185106,-0.50
185107,-0.50
185108,-0.52
185109,-0.51
185110,-0.41
185111,-0.41
185112,-0.43
185201,-0.36
185202,-0.39
185203,-0.41
185204,-0.41
185205,-0.39
185206,-0.36
185207,-0.37
185208,-0.37
185209,-0.36
185210,-0.40
185211,-0.40
185212,-0.40
185301,-0.47
185302,-0.51
185303,-0.49
185304,-0.50
185305,-0.50
185306,-0.52
185307,-0.50
185308,-0.50
185309,-0.51
185310,-0.52
185311,-0.51
185312,-0.49
185401,-0.50
185402,-0.46
185403,-0.38
185404,-0.33
185405,-0.33
185406,-0.33
185407,-0.34
185408,-0.33
185409,-0.32
185410,-0.27
185411,-0.20
185412,-0.18
185501,-0.11
185502,-0.08
185503,-0.08
185504,-0.06
185505,-0.05
185506,-0.05
185507,-0.08
185508,-0.11
185509,-0.13
185510,-0.17
185511,-0.26
185512,-0.33
185601,-0.27
185602,-0.26
185603,-0.27
185604,-0.31
185605,-0.34
185606,-0.34
185607,-0.32
185608,-0.36
185609,-0.36
185610,-0.41
185611,-0.36
185612,-0.27
185701,-0.31
185702,-0.37
185703,-0.34
185704,-0.35
185705,-0.36
185706,-0.38
185707,-0.40
185708,-0.37
185709,-0.37
185710,-0.35
185711,-0.38
185712,-0.38
185801,-0.40
185802,-0.38
185803,-0.40
185804,-0.36
185805,-0.37
185806,-0.36
185807,-0.35
185808,-0.34
185809,-0.35
185810,-0.31
185811,-0.32
185812,-0.41
185901,-0.43
185902,-0.41
185903,-0.39
185904,-0.35
185905,-0.28
185906,-0.25
185907,-0.27
185908,-0.25
185909,-0.24
185910,-0.26
185911,-0.23
185912,-0.16
186001,-0.19
186002,-0.24
186003,-0.33
186004,-0.38
186005,-0.43
186006,-0.45
186007,-0.45
186008,-0.47
186009,-0.47
186010,-0.48
186011,-0.51
186012,-0.64
186101,-0.71
186102,-0.73
186103,-0.67
186104,-0.68
186105,-0.70
186106,-0.71
186107,-0.69
186108,-0.70
186109,-0.70
186110,-0.72
186111,-0.69
186112,-0.63
186201,-0.60
186202,-0.61
186203,-0.67
186204,-0.71
186205,-0.72
186206,-0.74
186207,-0.76
186208,-0.76
186209,-0.77
186210,-0.78
186211,-0.84
186212,-0.92
186301,-0.83
186302,-0.80
186303,-0.73
186304,-0.65
186305,-0.62
186306,-0.60
186307,-0.59
186308,-0.61
186309,-0.62
186310,-0.60
186311,-0.55
186312,-0.47
186401,-0.53
186402,-0.49
186403,-0.50
186404,-0.54
186405,-0.52
186406,-0.49
186407,-0.46
186408,-0.47
186409,-0.47
186410,-0.48
186411,-0.53
186412,-0.60
186501,-0.47
186502,-0.52
186503,-0.58
186504,-0.62
186505,-0.66
186506,-0.68
186507,-0.68
186508,-0.63
186509,-0.58
186510,-0.53
186511,-0.48
186512,-0.39
186601,-0.45
186602,-0.40
186603,-0.38
186604,-0.38
186605,-0.38
186606,-0.42
186607,-0.42
186608,-0.45
186609,-0.46
186610,-0.51
186611,-0.52
186612,-0.46
186701,-0.49
186702,-0.57
186703,-0.57
186704,-0.60
186705,-0.67
186706,-0.65
186707,-0.67
186708,-0.65
186709,-0.66
186710,-0.64
186711,-0.60
186712,-0.62
186801,-0.64
186802,-0.59
186803,-0.54
186804,-0.48
186805,-0.39
186806,-0.38
186807,-0.36
186808,-0.36
186809,-0.35
186810,-0.34
186811,-0.45
186812,-0.49
186901,-0.43
186902,-0.35
186903,-0.34
186904,-0.34
186905,-0.33
186906,-0.32
186907,-0.31
186908,-0.31
186909,-0.30
186910,-0.31
186911,-0.20
186912,-0.21
187001,-0.29
187002,-0.43
187003,-0.45
187004,-0.45
187005,-0.45
187006,-0.41
187007,-0.40
187008,-0.41
187009,-0.40
187010,-0.42
187011,-0.48
187012,-0.56
187101,-0.57
187102,-0.58
187103,-0.54
187104,-0.50
187105,-0.54
187106,-0.56
187107,-0.58
187108,-0.57
187109,-0.61
187110,-0.61
187111,-0.64
187112,-0.60
187201,-0.59
187202,-0.56
187203,-0.60
187204,-0.65
187205,-0.63
187206,-0.66
187207,-0.66
187208,-0.66
187209,-0.64
187210,-0.63
187211,-0.59
187212,-0.61
187301,-0.59
187302,-0.55
187303,-0.58
187304,-0.60
187305,-0.60
187306,-0.57
187307,-0.57
187308,-0.59
187309,-0.61
187310,-0.58
187311,-0.55
187312,-0.52
187401,-0.50
187402,-0.50
187403,-0.50
187404,-0.46
187405,-0.44
187406,-0.43
187407,-0.46
187408,-0.47
187409,-0.44
187410,-0.45
187411,-0.45
187412,-0.39
187501,-0.37
187502,-0.39
187503,-0.37
187504,-0.38
187505,-0.42
187506,-0.42
187507,-0.39
187508,-0.39
187509,-0.45
187510,-0.49
187511,-0.57
187512,-0.72
187601,-0.73
187602,-0.76
187603,-0.76
187604,-0.75
187605,-0.79
187606,-0.78
187607,-0.80
187608,-0.79
187609,-0.77
187610,-0.72
187611,-0.67
187612,-0.62
187701,-0.62
187702,-0.57
187703,-0.50
187704,-0.49
187705,-0.42
187706,-0.42
187707,-0.37
187708,-0.35
187709,-0.31
187710,-0.29
187711,-0.21
187712,-0.17
187801,-0.18
187802,-0.15
187803,-0.09
187804,-0.06
187805,-0.08
187806,-0.04
187807,-0.04
187808,-0.04
187809,-0.04
187810,-0.07
187811,-0.12
187812,-0.07
187901,-0.03
187902,-0.08
187903,-0.16
187904,-0.20
187905,-0.19
187906,-0.24
187907,-0.27
187908,-0.31
187909,-0.35
187910,-0.35
187911,-0.39
187912,-0.50
188001,-0.58
188002,-0.65
188003,-0.71
188004,-0.72
188005,-0.72
188006,-0.70
188007,-0.73
188008,-0.69
188009,-0.69
188010,-0.68
188011,-0.65
188012,-0.57
188101,-0.51
188102,-0.41
188103,-0.39
188104,-0.34
188105,-0.33
188106,-0.39
188107,-0.37
188108,-0.38
188109,-0.40
188110,-0.43
188111,-0.48
188112,-0.46
188201,-0.42
188202,-0.44
188203,-0.44
188204,-0.52
188205,-0.53
188206,-0.52
188207,-0.57
188208,-0.57
188209,-0.56
188210,-0.59
188211,-0.60
188212,-0.69
188301,-0.76
188302,-0.78
188303,-0.75
188304,-0.72
188305,-0.73
188306,-0.67
188307,-0.65
188308,-0.67
188309,-0.69
188310,-0.66
188311,-0.64
188312,-0.59
188401,-0.59
188402,-0.56
188403,-0.67
188404,-0.72
188405,-0.76
188406,-0.82
188407,-0.84
188408,-0.87
188409,-0.90
188410,-0.90
188411,-0.90
188412,-0.80
188501,-0.84
188502,-0.84
188503,-0.78
188504,-0.75
188505,-0.74
188506,-0.73
188507,-0.69
188508,-0.64
188509,-0.61
188510,-0.60
188511,-0.60
188512,-0.64
188601,-0.63
188602,-0.66
188603,-0.73
188604,-0.71
188605,-0.70
188606,-0.71
188607,-0.69
188608,-0.69
188609,-0.68
188610,-0.68
188611,-0.67
188612,-0.65
188701,-0.71
188702,-0.70
188703,-0.64
188704,-0.63
188705,-0.61
188706,-0.60
188707,-0.62
188708,-0.64
188709,-0.61
188710,-0.62
188711,-0.60
188712,-0.70
188801,-0.58
188802,-0.59
188803,-0.59
188804,-0.61
188805,-0.64
188806,-0.63
188807,-0.60
188808,-0.58
188809,-0.61
188810,-0.53
188811,-0.49
188812,-0.44
188901,-0.45
188902,-0.34
188903,-0.29
188904,-0.21
188905,-0.15
188906,-0.13
188907,-0.14
188908,-0.11
188909,-0.09
188910,-0.15
188911,-0.22
188912,-0.25
189001,-0.28
189002,-0.37
189003,-0.41
189004,-0.48
189005,-0.53
189006,-0.56
189007,-0.58
189008,-0.61
189009,-0.64
189010,-0.60
189011,-0.60
189012,-0.61
189101,-0.59
189102,-0.67
189103,-0.65
189104,-0.64
189105,-0.63
189106,-0.61
189107,-0.61
189108,-0.59
189109,-0.57
189110,-0.61
189111,-0.62
189112,-0.58
189201,-0.58
189202,-0.49
189203,-0.50
189204,-0.51
189205,-0.54
189206,-0.54
189207,-0.56
189208,-0.58
189209,-0.57
189210,-0.58
189211,-0.58
189212,-0.60
189301,-0.68
189302,-0.78
189303,-0.80
189304,-0.79
189305,-0.77
189306,-0.76
189307,-0.74
189308,-0.73
189309,-0.75
189310,-0.74
189311,-0.70
189312,-0.73
189401,-0.71
189402,-0.67
189403,-0.64
189404,-0.65
189405,-0.61
189406,-0.65
189407,-0.65
189408,-0.63
189409,-0.63
189410,-0.65
189411,-0.66
189412,-0.63
189501,-0.61
189502,-0.61
189503,-0.61
189504,-0.58
189505,-0.61
189506,-0.59
189507,-0.58
189508,-0.61
189509,-0.61
189510,-0.59
189511,-0.57
189512,-0.59
189601,-0.53
189602,-0.50
189603,-0.53
189604,-0.62
189605,-0.64
189606,-0.61
189607,-0.62
189608,-0.61
189609,-0.60
189610,-0.53
189611,-0.55
189612,-0.55
189701,-0.55
189702,-0.58
189703,-0.59
189704,-0.48
189705,-0.42
189706,-0.44
189707,-0.42
189708,-0.40
189709,-0.39
189710,-0.45
189711,-0.42
189712,-0.36
189801,-0.37
189802,-0.37
189803,-0.41
189804,-0.44
189805,-0.45
189806,-0.45
189807,-0.46
189808,-0.46
189809,-0.46
189810,-0.46
189811,-0.52
189812,-0.57
189901,-0.56
189902,-0.55
189903,-0.47
189904,-0.47
189905,-0.49
189906,-0.52
189907,-0.53
189908,-0.54
189909,-0.52
189910,-0.48
189911,-0.38
189912,-0.33
190001,-0.37
190002,-0.33
190003,-0.27
190004,-0.26
190005,-0.21
190006,-0.18
190007,-0.17
190008,-0.17
190009,-0.21
190010,-0.20
190011,-0.22
190012,-0.23
190101,-0.21
190102,-0.22
190103,-0.16
190104,-0.09
190105,-0.12
190106,-0.11
190107,-0.10
190108,-0.10
190109,-0.11
190110,-0.14
190111,-0.14
190112,-0.13
190201,-0.08
190202,-0.03
190203,-0.16
190204,-0.26
190205,-0.28
190206,-0.30
190207,-0.32
190208,-0.32
190209,-0.33
190210,-0.33
190211,-0.38
190212,-0.48
190301,-0.50
190302,-0.54
190303,-0.50
190304,-0.51
190305,-0.49
190306,-0.52
190307,-0.53
190308,-0.56
190309,-0.55
190310,-0.58
190311,-0.52
190312,-0.50
190401,-0.54
190402,-0.58
190403,-0.55
190404,-0.55
190405,-0.55
190406,-0.55
190407,-0.56
190408,-0.55
190409,-0.56
190410,-0.53
190411,-0.49
190412,-0.42
190501,-0.37
190502,-0.41
190503,-0.44
190504,-0.41
190505,-0.40
190506,-0.38
190507,-0.36
190508,-0.35
190509,-0.33
190510,-0.34
190511,-0.36
190512,-0.42
190601,-0.49
190602,-0.45
190603,-0.46
190604,-0.39
190605,-0.38
190606,-0.36
190607,-0.36
190608,-0.35
190609,-0.33
190610,-0.27
190611,-0.28
190612,-0.17
190701,-0.11
190702,-0.14
190703,-0.15
190704,-0.26
190705,-0.34
190706,-0.39
190707,-0.43
190708,-0.47
190709,-0.49
190710,-0.52
190711,-0.55
190712,-0.65
190801,-0.69
190802,-0.59
190803,-0.63
190804,-0.63
190805,-0.57
190806,-0.51
190807,-0.48
190808,-0.46
190809,-0.43
190810,-0.47
190811,-0.46
190812,-0.46
190901,-0.51
190902,-0.55
190903,-0.54
190904,-0.54
190905,-0.56
190906,-0.61
190907,-0.62
190908,-0.60
190909,-0.61
190910,-0.58
190911,-0.51
190912,-0.48
191001,-0.36
191002,-0.35
191003,-0.32
191004,-0.27
191005,-0.24
191006,-0.23
191007,-0.21
191008,-0.22
191009,-0.23
191010,-0.23
191011,-0.26
191012,-0.30
191101,-0.39
191102,-0.44
191103,-0.50
191104,-0.47
191105,-0.47
191106,-0.45
191107,-0.47
191108,-0.49
191109,-0.49
191110,-0.48
191111,-0.48
191112,-0.45
191201,-0.42
191202,-0.39
191203,-0.44
191204,-0.48
191205,-0.46
191206,-0.44
191207,-0.48
191208,-0.52
191209,-0.57
191210,-0.68
191211,-0.69
191212,-0.70
191301,-0.69
191302,-0.71
191303,-0.65
191304,-0.66
191305,-0.69
