Parameter,Name,Type,z,mu,sigma,llim,ulim,yrBP
0,intcal20,NoOp,,,,-53054.5,1960.5,
1,General,Outlier_Model,,-4.78456,165.613,-223500,224500,
2,,Sum,,-0.027183,1.1631,-22.35,22.45,
3,,U,,1.50263,1.05751,0,4,
4,,P_Sequence,,-1.15106,0.13629,-1.6987,2,
5,,Boundary,1298.2,-11695.2,86.8948,-12134.5,-11279.5,
6,14C-7_shifted,R_Date,1298.2,-11695.2,86.8948,-12134.5,-11279.5,13645.2
7,14C-4,R_Date,1061,-9600.82,161.928,-12134.5,2044.5,11550.82
8,14C-3a,R_Date,964,-8905.44,108.135,-12134.5,2044.5,10855.44
9,14C-2a,R_Date,907,-7603.77,115.176,-12134.5,2044.5,9553.77
10,Flimser,N,896,-7502.94,24.3463,-12134.5,2044.5,9452.94
11,14C-1a,R_Date,884,-7397.86,87.5067,-12134.5,2044.5,9347.86
12,HB_4C_17,R_Date,820.9,-6661.25,196.6,-12134.5,2044.5,8611.25
13,HB_4C_08,R_Date,762.9,-5722.32,95.7372,-12134.5,2044.5,7672.32
14,HB_4C_05,R_Date,478.7,-2055.41,116.121,-12134.5,2044.5,4005.41
15,HB_4C_16,R_Date,423.5,-1468.76,144.665,-12134.5,2044.5,3418.76
16,HB_4C_15,R_Date,363,-865.342,101.56,-12134.5,2044.5,2815.342
17,HB_4C_14,R_Date,301.5,-81.7815,118.686,-12134.5,2044.5,2031.7815
18,HB_4C_03,R_Date,274,275.263,83.0695,-12134.5,2044.5,1674.737
19,HB_14C_20,R_Date,198.5,1055.02,78.956,-12134.5,2044.5,894.98
20,HB_4C_01,R_Date,111,1501.26,75.0953,-12134.5,2044.5,448.74
21,visual11,N,57,1896.11,5.65119,-12134.5,2044.5,53.89
22,visual10,N,54.5,1908.6,4.63552,-12134.5,2044.5,41.4
23,visual9,N,53,1911.48,4.4092,-12134.5,2044.5,38.52
24,visual8,N,50.7,1918.38,4.32735,-12134.5,2044.5,31.62
25,visual7,N,49,1921.59,4.01236,-12134.5,2044.5,28.41
26,visual6,N,46.3,1925.6,4.56827,-12134.5,2044.5,24.4
27,HB_4C_13,R_Date,43.2,1932.86,9.21905,-12134.5,2044.5,17.14
28,visual5,N,40,1952.92,5.60178,-12134.5,2044.5,-2.92
29,visual4,N,23,1987.23,5.07296,-12134.5,2044.5,-37.23
30,visual3,N,5.5,2007.3,4.10424,-12134.5,2044.5,-57.3
31,visual2,N,2,2010.76,3.60451,-12134.5,2044.5,-60.76
32,visual1,N,-1,2013.87,4.17174,1987.5,2044.5,-63.87
33,,Boundary,-1,2013.87,4.17174,1987.5,2044.5,
36,depthModel,Event,1283.38,-11563.9,148.301,-12134.5,2044.5,13513.9
37,depthModel,Event,1268.55,-11433,186.718,-12134.5,2044.5,13383
38,depthModel,Event,1253.73,-11302.3,213.898,-12134.5,2044.5,13252.3
39,depthModel,Event,1238.9,-11171.4,234.436,-12134.5,2044.5,13121.4
40,depthModel,Event,1224.08,-11040.6,249.594,-12134.5,2044.5,12990.6
41,depthModel,Event,1209.25,-10909.9,260.863,-12134.5,2044.5,12859.9
42,depthModel,Event,1194.42,-10779.3,267.879,-12134.5,2044.5,12729.3
43,depthModel,Event,1179.6,-10648.5,271.74,-12134.5,2044.5,12598.5
44,depthModel,Event,1164.78,-10517.7,272.148,-12134.5,2044.5,12467.7
45,depthModel,Event,1149.95,-10386.5,269.303,-12134.5,2044.5,12336.5
46,depthModel,Event,1135.12,-10256.1,263.002,-12134.5,2044.5,12206.1
47,depthModel,Event,1120.3,-10125.1,253.186,-12134.5,2044.5,12075.1
48,depthModel,Event,1105.47,-9994.13,239.577,-12134.5,2044.5,11944.13
49,depthModel,Event,1090.65,-9863.13,221.073,-12134.5,2044.5,11813.13
50,depthModel,Event,1075.83,-9732.3,195.864,-12134.5,2044.5,11682.3
51,depthModel,Event,1036.75,-9426.93,171.369,-12134.5,2044.5,11376.93
52,depthModel,Event,1012.5,-9253.31,167.052,-12134.5,2044.5,11203.31
53,depthModel,Event,988.25,-9079.23,148.336,-12134.5,2044.5,11029.23
54,depthModel,Event,949.75,-8579.23,271.896,-12134.5,2044.5,10529.23
55,depthModel,Event,935.5,-8254.21,308.506,-12134.5,2044.5,10204.21
56,depthModel,Event,921.25,-7929.17,273.176,-12134.5,2044.5,9879.17
57,depthModel,Event,868.225,-7213.98,167.331,-12134.5,2044.5,9163.98
58,depthModel,Event,852.45,-7029.92,200.193,-12134.5,2044.5,8979.92
59,depthModel,Event,836.675,-6845.46,208.725,-12134.5,2044.5,8795.46
60,depthModel,Event,806.4,-6426.24,240.89,-12134.5,2044.5,8376.24
61,depthModel,Event,791.9,-6192.12,244.753,-12134.5,2044.5,8142.12
62,depthModel,Event,777.4,-5957.39,208.361,-12134.5,2044.5,7907.39
63,depthModel,Event,745.137,-5493.47,216.838,-12134.5,2044.5,7443.47
64,depthModel,Event,727.375,-5265.01,283.726,-12134.5,2044.5,7215.01
65,depthModel,Event,709.612,-5036.43,329.204,-12134.5,2044.5,6986.43
66,depthModel,Event,691.85,-4807.42,362.438,-12134.5,2044.5,6757.42
67,depthModel,Event,674.087,-4578.07,386.652,-12134.5,2044.5,6528.07
68,depthModel,Event,656.325,-4348.35,403.309,-12134.5,2044.5,6298.35
69,depthModel,Event,638.562,-4119.06,413.205,-12134.5,2044.5,6069.06
70,depthModel,Event,620.8,-3889.72,416.762,-12134.5,2044.5,5839.72
71,depthModel,Event,603.038,-3660.34,413.92,-12134.5,2044.5,5610.34
72,depthModel,Event,585.275,-3430.65,405.318,-12134.5,2044.5,5380.65
73,depthModel,Event,567.513,-3201.15,389.256,-12134.5,2044.5,5151.15
74,depthModel,Event,549.75,-2972.17,365.668,-12134.5,2044.5,4922.17
75,depthModel,Event,531.987,-2742.72,333.112,-12134.5,2044.5,4692.72
76,depthModel,Event,514.225,-2513.45,289.149,-12134.5,2044.5,4463.45
77,depthModel,Event,496.462,-2284.4,226.033,-12134.5,2044.5,4234.4
78,depthModel,Event,464.9,-1908.46,156.797,-12134.5,2044.5,3858.46
79,depthModel,Event,451.1,-1762.01,171.886,-12134.5,2044.5,3712.01
80,depthModel,Event,437.3,-1615.1,167.88,-12134.5,2044.5,3565.1
81,depthModel,Event,408.375,-1317.44,165.839,-12134.5,2044.5,3267.44
82,depthModel,Event,393.25,-1167.05,166.963,-12134.5,2044.5,3117.05
83,depthModel,Event,378.125,-1015.91,148.534,-12134.5,2044.5,2965.91
84,depthModel,Event,347.625,-669.254,173.105,-12134.5,2044.5,2619.254
85,depthModel,Event,332.25,-473.535,193.156,-12134.5,2044.5,2423.535
86,depthModel,Event,316.875,-277.665,178.416,-12134.5,2044.5,2227.665
87,depthModel,Event,287.75,97.0426,135.642,-12134.5,2044.5,1852.9574
88,depthModel,Event,255.125,470.705,153.416,-12134.5,2044.5,1479.295
89,depthModel,Event,236.25,665.345,170.034,-12134.5,2044.5,1284.655
90,depthModel,Event,217.375,860.256,151.997,-12134.5,2044.5,1089.744
