tax_name,genus,family,indicated_type,source
Alnus,Alnus,,(a) Trees and shrubs of damp soils ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Salix ,Salix,,(a) Trees and shrubs of damp soils ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Myrica gale ,Myrica,,(a) Trees and shrubs of damp soils ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Fraxinus,Fraxinus,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Ulmus,Ulmus,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Tilia,Tilia,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Quercus,Quercus,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Acer,Acer,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Hedera helix ,Hedera,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Viburnum ,Viburnum,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Sambucus nigra ,Sambucus,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Sambucus racemosa ,Sambucus,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Cornus sanguinea ,Cornus,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Crataegus ,Crataegus,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Lonicera ,Lonicera,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Fagus ,Fagus,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Carpinus ,Carpinus,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Picea abies ,Picea,,(b) Shade-tolerant trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Corylus,Corylus,,(c) Light-demanding trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Betula,Betula,,(c) Light-demanding trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Populus,Populus,,(c) Light-demanding trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Pinus,Pinus,,(c) Light-demanding trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Prunus spp. Prunus avium/spinosa ,Prunus,,(c) Light-demanding trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Sorbus aucuparia ,Sorbus,,(c) Light-demanding trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Evonymus,Evonymus,,(c) Light-demanding trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Rhamnus cathartica ,Rhamnus,,(c) Light-demanding trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Cotoneaster spp. ,Cotoneaster,,(c) Light-demanding trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Rosa,Rosa,,(c) Light-demanding trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Cf. Malus sylvestris,Malus,,(c) Light-demanding trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Cf. Sorbus intermedia ,Sorbus,,(c) Light-demanding trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Rubus spp. ,Rubus,,(c) Light-demanding trees and shrubs ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Aesculus hippocastaneum ,Aesculus,,(d) Cultivated trees ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Juglans regia,Juglans,,(d) Cultivated trees ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Ligustrum vulgaris/Syringa ,Ligustrum,,(d) Cultivated trees ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
(Syringa),Syringa ,,(d) Cultivated trees ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Aegopodium podagraria,Aegopodium,,(e) Forest herbs and ferns ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Anemone nemorosa group/Hepatica nobilis ,Anemone,,(e) Forest herbs and ferns ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
(Hepatica nobilis),Hepatica,,(e) Forest herbs and ferns ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Humulus,Humulus,,(e) Forest herbs and ferns ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Chrysosplenium,Chrysosplenium,,(e) Forest herbs and ferns ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Fragaria,Fragaria,,(e) Forest herbs and ferns ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Lamium type,Lamium,,(e) Forest herbs and ferns ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Lysimachia nemorum,Lysimachia,,(e) Forest herbs and ferns ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Mercurialis,Mercurialis,,(e) Forest herbs and ferns ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Melampyrum,Melampyrum,,(e) Forest herbs and ferns ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Rosaceae undiff.,,Rosaceae,(e) Forest herbs and ferns ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
Sanicula europaea,Sanicula,,(e) Forest herbs and ferns ,Encyclopedia_of_Quaternary_Science_2.Edition_Volume.3_p.886_Table.1
